age,monthly_income_inr,area_type,upi_monthly_avg_txn_count,upi_avg_txn_amount,upi_failed_txn_ratio,mobile_recharge_consistency_score,mobile_recharge_lapse_days_max,utility_bills_on_time_pct,electricity_bill_avg_amount,cooperative_meeting_attendance_pct,shg_savings_amount_inr,microfinance_loans_repaid_count,microfinance_default_rate,gig_monthly_earnings,gig_platform_rating,jandhan_avg_balance,jandhan_zero_balance_months,monthly_data_usage_gb,telecom_bill_late_payments,banking_app_login_frequency_monthly,fintech_apps_count,rent_on_time_payment_pct,rent_to_income_ratio,social_referral_count,insurance_policy_count,alternative_credit_score,credit_risk_label,loan_approved
28,6726,Urban,65,215.91,0.072,0.67,57,0.86,481.97,0.54,34132,5,0.096,1134.94,4.1,1199.38,8,2.62,4,1,2,0.0,0.0,8,1,716,Low Risk,1
41,26616,Rural,39,114.24,0.182,0.29,57,0.81,473.35,0.0,0,8,0.162,28291.56,4.6,56.9,2,2.53,6,15,1,0.78,0.06,3,2,712,Low Risk,1
53,30723,Urban,2,621.4,0.299,0.49,12,0.89,376.76,0.0,0,7,0.091,0.0,0.0,0.0,0,3.94,10,4,1,0.95,0.64,5,3,577,Medium Risk,0
57,31665,Rural,118,228.75,0.087,0.11,52,0.75,1243.18,0.89,25807,3,0.248,4776.26,4.1,0.0,0,25.72,1,37,7,0.8,0.42,3,0,722,Low Risk,1
41,7806,Rural,116,46.18,0.219,0.47,64,0.71,1252.34,0.81,14289,0,0.021,16570.63,4.3,4996.77,5,4.09,8,21,3,0.0,0.0,5,3,654,Low Risk,1
20,5190,Rural,98,853.29,0.099,0.24,48,0.86,1581.69,0.79,4261,8,0.005,1422.47,3.9,0.0,0,7.3,2,57,6,0.0,0.0,0,1,667,Low Risk,1
39,12108,Urban,96,99.84,0.27,0.35,34,0.89,1258.89,0.45,23592,2,0.02,0.0,0.0,789.39,5,4.63,6,21,3,0.49,0.54,0,3,606,Medium Risk,1
19,15178,Rural,23,257.83,0.18,0.16,16,0.78,2435.33,0.59,28281,3,0.029,0.0,0.0,936.73,2,3.3,11,21,0,0.92,0.05,0,1,640,Medium Risk,1
41,5875,Semi-Urban,18,225.48,0.071,0.23,71,0.25,799.15,0.25,4082,0,0.043,0.0,0.0,893.48,7,4.37,8,0,0,0.73,0.69,9,2,550,Medium Risk,0
61,34324,Semi-Urban,17,322.51,0.089,0.08,66,0.86,2197.16,0.0,0,6,0.04,29142.56,4.6,0.0,0,9.67,8,59,1,0.76,0.59,1,0,656,Low Risk,1
47,8592,Semi-Urban,63,17.65,0.004,0.92,9,0.9,340.79,0.0,0,1,0.298,0.0,0.0,700.54,9,4.25,2,35,2,0.91,0.33,6,0,633,Medium Risk,1
55,20824,Rural,112,163.67,0.045,0.53,33,0.46,1544.6,0.0,0,0,0.181,7807.08,4.7,94.19,10,3.82,1,48,7,0.0,0.0,2,0,612,Medium Risk,1
19,15592,Urban,115,943.7,0.068,0.4,85,0.56,1655.98,0.0,0,7,0.152,29690.68,4.6,34.29,5,3.54,10,12,1,0.71,0.06,0,2,690,Low Risk,1
38,11927,Rural,87,1117.15,0.173,0.54,3,0.72,1953.35,0.0,0,8,0.004,0.0,0.0,5158.85,11,1.66,4,11,5,0.79,0.34,7,1,696,Low Risk,1
50,31144,Semi-Urban,108,74.47,0.277,0.63,28,0.52,1307.25,0.0,0,0,0.006,13327.57,3.5,0.0,0,12.68,4,12,2,0.0,0.0,7,0,608,Medium Risk,1
29,34010,Rural,34,738.57,0.287,0.92,45,0.83,573.34,0.82,20401,3,0.11,0.0,0.0,300.01,6,2.87,7,50,3,0.0,0.0,3,2,600,Medium Risk,1
39,25443,Rural,61,98.13,0.191,0.18,74,0.84,985.59,0.0,0,1,0.173,0.0,0.0,2002.51,5,19.48,5,59,2,0.94,0.15,6,0,658,Low Risk,1
61,17437,Urban,0,156.11,0.016,0.3,45,0.86,753.19,0.0,0,0,0.183,0.0,0.0,1424.62,8,5.72,11,58,2,0.0,0.0,1,0,469,High Risk,0
42,33681,Rural,99,166.27,0.181,0.98,76,0.83,1105.85,0.0,0,3,0.01,21622.77,4.6,171.02,10,18.28,6,47,3,0.0,0.0,5,2,670,Low Risk,1
44,14530,Urban,24,278.82,0.016,0.37,58,0.86,1371.92,0.0,0,5,0.19,21690.75,4.0,692.07,8,3.67,10,58,4,0.66,0.47,8,0,649,Medium Risk,1
59,10010,Urban,44,813.74,0.106,0.02,60,0.66,1600.17,0.94,44932,4,0.555,24108.55,3.2,977.44,9,2.15,7,58,5,0.85,0.57,6,0,692,Low Risk,1
45,14207,Urban,48,336.13,0.198,0.15,67,0.41,2128.29,0.64,47948,0,0.111,0.0,0.0,0.0,0,12.72,8,10,1,0.0,0.0,5,3,570,Medium Risk,0
33,26501,Urban,106,210.32,0.368,0.03,65,0.61,2284.02,0.0,0,0,0.067,7005.72,4.8,148.14,3,2.56,3,49,0,0.0,0.0,9,3,589,Medium Risk,0
32,30465,Semi-Urban,97,781.15,0.088,0.99,33,0.46,1210.2,0.0,0,5,0.111,9993.28,4.1,280.49,7,16.21,4,17,2,0.0,0.0,1,1,635,Medium Risk,1
61,28537,Urban,88,93.39,0.015,0.28,85,0.85,312.81,0.0,0,1,0.063,0.0,0.0,480.47,2,7.99,3,21,0,0.0,0.0,3,2,563,Medium Risk,0
20,5989,Urban,15,223.04,0.318,0.92,4,0.54,2012.96,0.89,31966,6,0.082,0.0,0.0,3295.23,10,19.38,8,0,5,0.0,0.0,5,3,630,Medium Risk,1
54,15040,Rural,97,808.3,0.156,1.0,8,0.77,1245.18,0.0,0,3,0.005,0.0,0.0,166.65,4,1.69,11,3,7,0.91,0.33,4,3,622,Medium Risk,1
24,12218,Rural,92,461.82,0.197,0.6,19,0.84,1411.47,0.94,44393,6,0.082,0.0,0.0,0.0,0,11.66,1,8,7,0.82,0.22,4,0,719,Low Risk,1
38,25612,Rural,18,139.83,0.087,0.03,20,0.89,1529.91,0.0,0,2,0.206,0.0,0.0,950.24,2,2.13,7,2,0,0.0,0.0,3,3,508,High Risk,0
26,31441,Rural,22,39.82,0.259,0.08,16,0.4,1702.88,0.0,0,0,0.04,696.81,4.4,41.87,9,0.41,10,7,1,0.0,0.0,7,1,501,High Risk,0
56,9471,Rural,82,355.32,0.077,0.48,11,0.62,2236.24,0.0,0,0,0.018,14511.95,3.9,760.94,3,10.98,6,8,4,0.0,0.0,7,0,635,Medium Risk,1
35,5863,Urban,24,36.8,0.232,0.41,81,0.59,2385.15,0.0,0,1,0.03,0.0,0.0,0.0,0,4.45,6,17,4,0.79,0.51,4,0,550,Medium Risk,0
21,33145,Semi-Urban,15,189.62,0.069,0.61,66,0.49,2356.41,0.0,0,3,0.003,0.0,0.0,349.7,7,11.73,7,4,5,0.76,0.15,6,1,572,Medium Risk,0
42,13693,Rural,53,1007.01,0.149,0.44,4,0.71,2042.71,0.52,29443,2,0.231,29664.01,3.7,155.48,9,4.91,10,21,7,0.0,0.0,1,0,653,Low Risk,1
31,29523,Urban,114,500.75,0.054,0.93,59,0.54,2234.18,0.0,0,1,0.057,5342.29,4.7,200.27,7,4.58,10,36,5,0.0,0.0,2,1,621,Medium Risk,1
26,34348,Semi-Urban,72,21.58,0.244,0.53,52,0.79,219.17,0.0,0,0,0.032,10526.92,3.1,981.07,2,20.04,0,53,4,0.74,0.28,9,1,693,Low Risk,1
43,34964,Urban,0,311.23,0.256,0.69,51,0.84,2137.87,0.0,0,2,0.138,498.56,4.7,59.22,7,5.04,0,4,4,0.87,0.08,8,1,620,Medium Risk,1
19,4177,Urban,41,166.83,0.169,0.9,77,0.75,273.44,0.0,0,3,0.019,0.0,0.0,6624.44,9,2.79,6,22,3,0.97,0.07,6,3,683,Low Risk,1
37,7760,Semi-Urban,18,53.07,0.151,0.15,47,0.79,1890.87,0.0,0,5,0.034,10629.51,3.6,2495.85,3,4.1,1,15,0,0.79,0.49,5,0,724,Low Risk,1
45,3011,Semi-Urban,96,365.78,0.067,0.23,89,0.53,506.47,0.0,0,0,0.127,15851.64,4.0,1345.55,10,5.25,11,4,0,0.93,0.5,6,2,654,Low Risk,1
24,24636,Semi-Urban,33,135.63,0.218,0.11,18,0.86,964.27,0.0,0,2,0.095,7112.82,4.3,83.99,1,0.26,3,36,7,0.0,0.0,5,3,656,Low Risk,1
61,19353,Semi-Urban,79,136.64,0.012,0.14,16,0.87,542.04,0.41,47531,1,0.0,4993.81,4.9,0.0,0,7.32,11,43,5,0.81,0.35,1,2,734,Low Risk,1
25,23783,Urban,107,283.97,0.086,0.51,53,0.64,1164.31,0.6,16148,1,0.056,12620.21,3.6,3243.86,7,17.44,5,38,6,0.81,0.39,2,0,751,Very Low Risk,1
52,14556,Urban,103,115.46,0.152,0.32,67,0.87,1088.19,0.0,0,4,0.006,5120.27,3.2,4307.13,11,4.27,4,2,5,0.72,0.35,4,1,695,Low Risk,1
31,30598,Rural,54,274.48,0.09,0.42,34,0.91,215.35,0.0,0,8,0.053,0.0,0.0,800.18,4,2.94,4,25,6,0.9,0.69,1,2,664,Low Risk,1
34,14563,Semi-Urban,17,120.06,0.07,0.98,87,0.71,2093.2,0.79,21410,1,0.013,28658.67,3.7,518.36,1,6.6,10,54,5,0.0,0.0,2,3,670,Low Risk,1
53,17051,Urban,33,128.23,0.092,0.16,40,0.85,2150.05,0.0,0,2,0.007,24196.3,4.2,763.48,6,25.62,5,7,7,0.0,0.0,6,1,683,Low Risk,1
57,14022,Rural,88,805.54,0.115,0.54,12,0.67,1990.02,0.0,0,6,0.031,6456.41,4.8,0.0,0,7.16,9,20,3,0.7,0.22,1,2,673,Low Risk,1
21,11234,Urban,44,910.15,0.017,0.1,32,0.96,2134.26,0.0,0,1,0.211,28534.06,4.3,3528.12,5,5.55,6,51,7,0.9,0.18,5,0,728,Low Risk,1
19,28519,Semi-Urban,5,31.49,0.104,0.32,14,0.79,1902.11,0.0,0,0,0.073,0.0,0.0,66.86,1,3.03,1,17,6,0.0,0.0,9,2,531,High Risk,0
23,29966,Urban,20,599.73,0.172,0.53,62,0.83,2349.96,0.0,0,0,0.135,4649.16,3.5,0.0,0,1.54,11,4,1,0.95,0.65,4,3,626,Medium Risk,1
59,24829,Rural,69,1310.69,0.166,0.95,14,0.39,1483.34,0.0,0,1,0.093,0.0,0.0,1110.44,6,4.59,10,5,7,0.0,0.0,2,0,556,Medium Risk,0
21,19173,Semi-Urban,95,1585.81,0.19,0.39,30,0.76,1498.34,0.0,0,5,0.013,0.0,0.0,0.0,0,4.67,3,26,2,0.95,0.59,7,1,617,Medium Risk,1
46,30121,Urban,104,456.9,0.151,0.06,27,0.71,2163.78,0.0,0,2,0.432,0.0,0.0,330.29,9,0.65,6,56,7,0.89,0.3,5,3,567,Medium Risk,0
35,29987,Rural,47,68.79,0.005,0.39,9,0.8,938.6,0.0,0,5,0.004,0.0,0.0,590.31,9,2.17,4,21,4,0.62,0.37,8,1,638,Medium Risk,1
43,16178,Semi-Urban,106,521.12,0.39,0.15,56,0.66,220.2,0.0,0,0,0.116,0.0,0.0,436.0,4,14.28,10,21,4,0.59,0.12,0,0,528,High Risk,0
61,9570,Urban,38,86.22,0.169,0.23,70,0.86,1899.65,0.0,0,2,0.225,0.0,0.0,815.75,8,3.46,11,37,3,0.57,0.41,2,2,536,High Risk,0
51,28580,Urban,30,162.14,0.065,0.62,32,0.36,711.01,0.0,0,7,0.154,0.0,0.0,222.9,6,0.38,9,55,6,0.8,0.67,9,3,576,Medium Risk,0
27,27596,Urban,105,387.49,0.085,0.07,6,0.53,1238.17,0.0,0,4,0.108,0.0,0.0,1383.64,8,22.22,8,37,4,0.79,0.04,7,1,591,Medium Risk,0
53,3406,Urban,9,93.16,0.134,0.46,4,0.76,677.06,0.38,35553,1,0.041,0.0,0.0,942.06,8,1.84,5,42,7,0.86,0.18,0,0,626,Medium Risk,1
31,34338,Semi-Urban,29,61.83,0.048,0.61,89,0.65,2085.02,0.0,0,4,0.0,12632.22,4.2,59.29,0,2.8,3,26,3,0.0,0.0,7,0,644,Medium Risk,1
48,12206,Rural,115,427.92,0.038,0.42,79,0.67,2399.9,0.0,0,2,0.18,12958.18,3.4,90.13,7,12.97,10,44,2,0.93,0.19,9,2,656,Low Risk,1
32,7431,Semi-Urban,17,2300.01,0.094,0.02,56,0.58,232.06,0.76,40799,1,0.077,22789.57,3.0,0.0,0,2.13,10,45,6,0.85,0.26,4,3,696,Low Risk,1
25,29414,Urban,59,1087.77,0.416,0.99,71,0.77,660.09,0.76,19388,1,0.043,0.0,0.0,53455.87,6,0.63,11,48,0,0.7,0.2,7,2,706,Low Risk,1
31,30764,Urban,87,571.71,0.23,0.37,85,0.59,554.95,0.0,0,2,0.058,17659.38,3.1,341.46,10,5.57,9,32,7,0.5,0.68,9,0,637,Medium Risk,1
40,24627,Urban,115,792.37,0.046,0.78,39,0.89,1715.69,0.0,0,1,0.044,0.0,0.0,112.25,1,9.94,3,41,4,0.92,0.34,6,2,649,Medium Risk,1
57,9542,Semi-Urban,72,525.98,0.001,0.33,27,0.74,1128.83,0.0,0,1,0.097,11176.8,3.4,178.8,2,2.8,2,30,1,0.94,0.09,8,3,697,Low Risk,1
38,26320,Rural,94,419.84,0.038,0.48,35,0.89,1195.03,0.0,0,5,0.086,25819.2,3.8,1105.07,5,3.96,5,27,3,0.94,0.09,6,0,753,Very Low Risk,1
33,33499,Urban,14,719.35,0.162,0.39,55,0.49,476.99,0.64,42836,2,0.032,0.0,0.0,0.0,0,1.38,7,29,6,0.0,0.0,3,1,564,Medium Risk,0
35,11906,Rural,3,47.37,0.092,0.34,46,0.85,1095.36,0.81,24843,1,0.332,28053.69,3.6,195.88,10,1.66,0,33,5,0.85,0.28,0,0,663,Low Risk,1
41,7146,Rural,62,310.87,0.222,0.02,70,0.96,827.75,0.0,0,1,0.137,0.0,0.0,687.83,2,3.25,1,44,2,0.0,0.0,1,2,554,Medium Risk,0
43,15046,Semi-Urban,39,222.04,0.052,0.36,39,0.58,1566.86,0.95,1092,0,0.067,0.0,0.0,0.0,0,8.57,3,16,6,0.0,0.0,1,2,544,High Risk,0
42,15611,Rural,8,268.99,0.103,0.89,58,0.41,621.37,0.0,0,4,0.024,8704.05,4.8,1324.32,3,4.94,6,50,1,0.0,0.0,0,2,613,Medium Risk,1
58,16076,Semi-Urban,108,140.66,0.204,0.69,42,0.73,1575.55,0.0,0,3,0.079,23884.11,3.2,228.22,6,12.43,11,34,0,0.0,0.0,9,2,636,Medium Risk,1
46,19524,Semi-Urban,8,456.96,0.048,0.15,65,0.5,1006.59,0.0,0,3,0.348,3158.44,3.8,1634.8,3,23.42,1,35,1,0.0,0.0,6,0,557,Medium Risk,0
32,32141,Semi-Urban,25,91.7,0.059,0.59,8,0.7,931.11,0.0,0,7,0.038,16140.73,4.6,0.0,0,10.88,10,5,3,0.38,0.51,3,3,647,Medium Risk,1
18,7882,Semi-Urban,3,128.94,0.118,0.89,5,0.63,833.34,0.88,3079,3,0.003,0.0,0.0,1301.81,6,0.91,11,44,4,0.84,0.46,9,0,601,Medium Risk,1
42,17113,Urban,80,111.65,0.171,0.7,64,0.97,1717.2,0.52,42468,0,0.106,0.0,0.0,338.35,7,3.37,9,28,0,0.36,0.05,6,3,622,Medium Risk,1
24,16645,Urban,15,690.03,0.102,0.15,2,0.87,1449.8,0.0,0,5,0.058,0.0,0.0,1066.13,0,10.77,11,57,7,0.84,0.44,7,0,620,Medium Risk,1
26,9012,Urban,14,241.27,0.02,0.87,73,0.62,2144.13,0.75,12167,4,0.175,0.0,0.0,0.0,0,3.98,7,22,3,0.0,0.0,5,0,564,Medium Risk,0
41,20347,Semi-Urban,98,140.75,0.056,0.3,36,0.61,679.86,0.0,0,3,0.083,0.0,0.0,70.02,9,0.89,2,13,2,0.98,0.58,7,3,633,Medium Risk,1
18,10151,Urban,51,156.32,0.101,0.45,86,0.85,196.29,0.91,30236,8,0.06,23039.42,3.5,0.0,0,2.58,1,8,1,0.86,0.33,1,2,772,Very Low Risk,1
61,27948,Rural,68,245.83,0.086,0.53,32,0.82,536.86,0.77,21305,5,0.009,4606.94,4.3,0.0,0,0.46,6,55,7,0.98,0.23,0,3,736,Low Risk,1
25,31211,Rural,118,1714.04,0.253,0.85,8,0.87,924.06,0.0,0,3,0.143,26171.63,4.0,601.56,11,3.4,10,14,1,0.89,0.26,8,3,726,Low Risk,1
41,30117,Semi-Urban,4,55.49,0.307,0.93,52,0.77,531.17,0.93,686,6,0.015,0.0,0.0,0.0,0,2.26,11,37,0,0.97,0.4,8,1,609,Medium Risk,1
28,6610,Urban,19,550.38,0.3,0.93,76,0.84,300.43,0.0,0,0,0.048,16132.03,3.9,563.85,1,3.12,9,24,7,0.7,0.29,8,1,709,Low Risk,1
34,12884,Rural,78,431.05,0.044,0.01,50,0.72,1168.81,0.63,41465,0,0.04,0.0,0.0,877.17,2,14.61,8,19,0,0.95,0.24,3,2,659,Low Risk,1
25,9894,Rural,17,84.81,0.229,0.92,70,0.44,1724.64,0.0,0,0,0.113,27468.43,3.9,0.0,0,1.18,3,42,2,0.0,0.0,8,1,589,Medium Risk,0
52,16467,Rural,110,1422.61,0.103,0.05,25,0.84,1903.77,0.0,0,3,0.231,0.0,0.0,4.5,2,2.19,1,21,2,0.79,0.07,8,0,621,Medium Risk,1
52,34010,Urban,1,467.38,0.058,0.27,15,0.69,1056.95,0.79,16964,0,0.063,0.0,0.0,194.66,0,1.43,8,6,7,0.0,0.0,4,1,513,High Risk,0
50,33343,Semi-Urban,92,133.05,0.125,0.51,39,0.84,1247.31,0.47,27716,7,0.323,12027.22,3.9,60.75,2,13.08,9,17,7,0.0,0.0,0,3,670,Low Risk,1
22,26695,Urban,12,26.28,0.098,0.48,89,0.55,1913.13,0.73,24798,0,0.016,29761.01,4.2,347.86,1,13.89,4,59,7,0.0,0.0,7,0,606,Medium Risk,1
59,19489,Urban,3,322.14,0.335,0.6,50,0.76,946.5,0.69,12199,1,0.133,0.0,0.0,61.74,8,6.42,9,16,0,0.0,0.0,0,3,482,High Risk,0
56,24923,Rural,41,231.9,0.202,0.48,38,0.75,1983.44,0.0,0,3,0.05,0.0,0.0,58.18,9,6.1,6,13,7,0.86,0.4,2,0,607,Medium Risk,1
58,34389,Rural,108,71.03,0.004,0.93,54,0.52,2421.7,0.69,2433,3,0.017,5978.31,5.0,1288.03,7,1.35,9,25,6,0.0,0.0,2,3,635,Medium Risk,1
45,12873,Semi-Urban,73,69.94,0.339,0.24,35,0.78,2213.15,0.0,0,1,0.028,20975.79,4.1,515.22,5,5.47,4,39,3,0.0,0.0,4,0,652,Low Risk,1
24,15289,Rural,60,693.82,0.024,0.27,64,0.75,1188.63,0.0,0,8,0.069,17164.37,3.1,844.85,6,1.46,11,31,3,0.0,0.0,4,2,643,Medium Risk,1
26,15208,Semi-Urban,94,23.41,0.1,0.92,84,0.95,1490.84,0.0,0,2,0.032,4060.4,3.4,171.42,0,4.67,4,28,0,0.97,0.15,4,3,709,Low Risk,1
25,13828,Semi-Urban,104,356.79,0.09,0.08,76,0.79,1819.42,0.69,46854,3,0.172,0.0,0.0,196.39,6,3.18,5,39,1,0.0,0.0,3,3,586,Medium Risk,0
29,26171,Urban,7,195.41,0.104,0.61,89,0.58,938.32,0.34,33590,3,0.155,0.0,0.0,0.0,0,2.47,4,58,6,0.41,0.63,0,0,586,Medium Risk,0
51,5137,Rural,66,444.34,0.141,0.68,44,0.81,2018.17,0.0,0,0,0.016,14448.29,3.0,188.6,7,4.61,7,6,5,0.61,0.32,3,3,642,Medium Risk,1
50,30992,Urban,111,171.89,0.039,0.51,8,0.76,1148.6,0.0,0,1,0.052,12796.9,4.0,202.13,5,8.82,10,56,4,0.7,0.67,9,2,683,Low Risk,1
40,23829,Rural,62,347.91,0.353,0.69,36,0.66,2132.42,0.0,0,4,0.02,24185.92,4.3,90.8,6,26.46,11,8,7,0.0,0.0,7,3,659,Low Risk,1
41,22914,Rural,109,100.35,0.057,0.17,86,0.91,711.36,0.55,28425,0,0.015,12827.02,3.6,138.81,10,7.78,10,11,7,0.64,0.24,4,2,714,Low Risk,1
54,4286,Urban,8,230.66,0.108,0.85,0,0.6,127.31,0.0,0,0,0.024,0.0,0.0,540.39,1,43.73,3,2,2,0.76,0.53,6,1,582,Medium Risk,0
52,18710,Semi-Urban,93,440.06,0.033,0.14,65,0.81,1618.45,0.0,0,4,0.033,0.0,0.0,0.0,0,5.48,2,31,3,0.47,0.66,0,1,595,Medium Risk,0
61,14371,Rural,116,293.26,0.01,0.4,62,0.46,1184.53,0.0,0,4,0.179,17460.62,3.5,658.85,7,26.68,2,32,4,0.82,0.05,4,1,697,Low Risk,1
57,18945,Semi-Urban,10,386.2,0.011,0.08,42,0.65,243.58,0.83,2649,3,0.005,0.0,0.0,38.29,10,6.93,1,14,1,0.89,0.47,9,2,616,Medium Risk,1
39,32734,Rural,98,80.36,0.269,0.55,27,0.65,1270.27,0.0,0,0,0.116,6073.6,3.3,0.0,0,5.7,7,8,2,0.0,0.0,7,2,592,Medium Risk,0
44,10052,Rural,100,120.44,0.1,0.67,30,0.4,504.57,0.0,0,0,0.241,21297.4,3.4,360.15,7,3.79,6,48,3,0.91,0.07,4,0,619,Medium Risk,1
52,33878,Semi-Urban,41,122.98,0.094,0.94,68,0.7,1611.4,0.0,0,0,0.172,3669.91,3.1,654.14,9,6.04,5,43,3,0.0,0.0,0,3,615,Medium Risk,1
18,6654,Semi-Urban,12,175.6,0.046,0.74,88,0.82,1168.11,0.0,0,2,0.008,5279.52,3.8,0.0,0,6.9,1,16,1,0.0,0.0,1,2,610,Medium Risk,1
52,26486,Rural,35,1249.25,0.036,0.54,7,0.69,510.7,0.0,0,4,0.045,28228.39,4.4,0.0,0,1.09,1,27,1,0.62,0.44,5,0,741,Low Risk,1
54,21743,Semi-Urban,119,159.97,0.052,0.93,33,0.77,1088.65,0.0,0,4,0.119,0.0,0.0,438.97,8,9.03,9,44,3,0.87,0.21,1,1,596,Medium Risk,0
31,18600,Urban,12,62.04,0.024,0.48,48,0.9,658.5,0.91,35300,6,0.198,9698.87,4.1,0.0,0,1.02,0,12,3,0.0,0.0,8,3,707,Low Risk,1
20,27489,Urban,11,468.71,0.079,0.56,57,0.81,1667.43,0.0,0,1,0.11,0.0,0.0,217.73,5,9.04,11,46,4,0.66,0.27,8,2,537,High Risk,0
18,11636,Semi-Urban,36,1231.48,0.056,0.6,74,0.78,808.34,0.0,0,1,0.341,0.0,0.0,1649.33,0,8.16,9,20,1,0.0,0.0,1,0,539,High Risk,0
22,9441,Rural,73,53.87,0.051,0.41,46,0.63,2072.84,0.0,0,1,0.056,16770.01,3.5,0.0,0,18.56,1,49,5,0.57,0.59,0,0,651,Low Risk,1
43,24431,Rural,119,2610.7,0.344,0.84,24,0.91,133.99,0.0,0,4,0.104,0.0,0.0,370.63,5,1.89,8,46,1,0.0,0.0,6,2,602,Medium Risk,1
31,27611,Semi-Urban,72,402.71,0.125,0.19,2,0.98,1068.2,0.96,6209,0,0.204,20172.23,4.9,119.7,3,1.67,0,49,4,0.0,0.0,6,1,685,Low Risk,1
56,24587,Urban,51,846.13,0.098,0.55,44,0.55,1580.99,0.0,0,4,0.043,4697.5,3.9,638.04,7,13.56,9,4,1,0.0,0.0,2,0,600,Medium Risk,1
44,12667,Urban,70,1422.95,0.043,0.72,51,0.42,154.26,0.0,0,4,0.09,22431.77,4.7,1610.72,7,1.53,3,6,0,0.0,0.0,1,2,679,Low Risk,1
26,15149,Rural,1,786.14,0.253,0.9,33,0.83,618.02,0.71,22360,2,0.123,0.0,0.0,199.91,8,1.39,1,37,6,0.77,0.06,8,2,650,Low Risk,1
32,4798,Urban,117,214.3,0.048,0.88,68,0.76,885.81,0.71,49352,5,0.232,0.0,0.0,0.0,0,5.52,4,36,2,0.0,0.0,8,0,674,Low Risk,1
32,29421,Urban,55,1054.94,0.056,0.51,7,0.45,152.43,0.51,6611,5,0.044,5180.49,3.6,0.0,0,4.28,9,18,0,0.0,0.0,5,3,615,Medium Risk,1
43,12600,Urban,59,332.13,0.011,0.64,26,0.75,1412.06,0.0,0,4,0.088,11326.2,4.4,93.41,7,5.23,7,40,6,0.0,0.0,6,3,656,Low Risk,1
59,24675,Semi-Urban,22,905.59,0.094,0.39,79,0.49,1614.08,0.75,8329,3,0.115,25404.96,3.9,686.88,10,7.67,0,31,5,0.95,0.05,1,3,727,Low Risk,1
30,8495,Rural,102,1032.62,0.024,0.47,62,0.73,646.05,0.0,0,7,0.007,0.0,0.0,836.09,2,7.72,8,55,1,0.0,0.0,5,0,619,Medium Risk,1
49,12900,Urban,39,66.08,0.077,0.91,81,0.37,1404.36,0.0,0,0,0.106,0.0,0.0,91.82,9,4.15,6,42,4,0.77,0.22,5,0,603,Medium Risk,1
56,16673,Semi-Urban,63,634.71,0.204,0.93,24,0.85,2497.9,0.75,34243,5,0.105,0.0,0.0,0.0,0,4.7,4,2,3,0.8,0.56,7,2,674,Low Risk,1
49,34278,Semi-Urban,102,196.71,0.071,0.9,57,0.86,2228.61,0.67,29853,1,0.071,16170.84,4.2,0.0,0,4.19,4,38,1,0.0,0.0,8,2,692,Low Risk,1
