borrower_id,age,borrower_type,state,household_size,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,employment_type,months_at_current_job,num_income_sources,upi_transactions_per_month,upi_avg_transaction_amount,upi_months_active,mobile_wallet_used,utility_bills_paid,utility_bills_total,rent_paid_on_time_months,total_rental_months,same_number_since_year,avg_monthly_recharge_amount,recharge_frequency_per_month,ecomm_orders_per_month,ecomm_return_rate,prepaid_orders_ratio,survey_q1,survey_q2,survey_q3,survey_q4,survey_q5,survey_q6,survey_q7,survey_q8,loan_amount_requested,loan_purpose,loan_tenure_months,default_probability,defaulted
B00024,48,rural,Rajasthan,5,10910.59,8132.3,15017.27,10792.34,7836.42,16367.25,seasonal,30,2,35.3,1360.24,5.0,0.0,5,15,4.0,11.0,2019.0,315.58,1.18,0.0,,,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,213400.0,education,14,0.5937,1
B00025,46,rural,Uttar Pradesh,4,8212.95,8548.53,19380.97,8285.4,12128.06,14961.64,seasonal,30,2,,,,,2,16,1.0,6.0,2017.0,227.16,0.99,5.4,0.357,0.25109677565160815,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,428100.0,consumption,39,0.8293,1
B00026,32,gig,Maharashtra,2,21565.51,24353.47,34842.31,48331.99,45935.06,37025.6,daily-wage,25,4,75.1,2280.21,30.0,1.0,6,19,16.0,16.0,2012.0,719.99,2.52,11.2,0.16,0.38011509103229585,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,27400.0,medical,44,0.2281,0
B00027,40,rural,Madhya Pradesh,5,13060.8,18404.84,29612.99,18663.42,14849.41,29747.31,seasonal,51,2,83.2,2790.96,20.0,0.0,11,21,9.0,14.0,2014.0,456.02,2.08,0.0,,,4.0,3.0,2.0,4.0,3.0,,2.0,4.0,78400.0,agriculture,19,0.3287,0
B00028,28,rural,Odisha,4,12961.67,12274.38,23156.42,9284.55,12941.67,20563.74,seasonal,26,2,56.9,1369.64,4.0,0.0,5,17,4.0,11.0,2020.0,218.35,1.56,4.8,0.347,0.40767191720564294,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,237300.0,business,28,0.4577,0
B00029,54,rural,Madhya Pradesh,6,8420.22,15566.92,24315.57,10747.74,11905.14,18602.77,daily-wage,28,2,41.0,1578.68,11.0,0.0,5,12,6.0,15.0,2019.0,360.01,1.37,0.0,,,1.0,3.0,3.0,,2.0,,3.0,3.0,456700.0,business,40,0.5319,0
B00030,24,gig,Telangana,3,35821.01,21777.73,40182.99,39790.28,40646.13,32250.89,salaried-gig,16,2,45.9,2272.63,14.0,1.0,14,22,8.0,11.0,2021.0,620.25,2.07,3.7,0.22,0.8138701819855555,2.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,49100.0,consumption,35,0.2797,0
B00031,26,migrant,Tamil Nadu,1,29740.9,34671.91,25329.1,36976.32,27768.71,39123.01,salaried-gig,13,3,71.7,2365.2,15.0,1.0,13,16,7.0,7.0,2017.0,599.49,2.62,10.2,0.101,0.9262421854042102,3.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,327000.0,business,23,0.1094,0
B00032,22,migrant,Gujarat,2,27659.96,29939.62,26652.66,23182.37,27207.85,33084.11,daily-wage,6,3,59.3,2299.05,10.0,0.0,9,13,17.0,21.0,2022.0,671.29,2.45,9.6,0.317,0.4161913389356915,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,197200.0,business,16,0.4142,0
B00033,47,rural,Odisha,5,10265.71,10127.49,22255.9,11673.89,11960.81,20455.75,daily-wage,25,3,,,,,4,8,1.0,12.0,2018.0,176.26,0.92,4.5,0.361,0.7041962717904342,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,180200.0,business,47,0.705,1
B00034,33,gig,Telangana,2,30199.05,20231.93,25841.42,26205.66,21829.12,17450.38,daily-wage,15,2,32.7,1381.88,14.0,0.0,2,16,,,2020.0,447.86,1.2,2.2,0.392,0.20672480496387502,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,323000.0,consumption,27,0.5248,0
B00035,22,migrant,Karnataka,1,34324.43,31836.51,34365.21,36736.46,29636.83,39896.64,self-employed,24,4,,2856.77,32.0,0.0,11,11,17.0,19.0,2021.0,825.32,3.31,14.0,0.176,0.8992003508764623,5.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,444300.0,medical,36,0.0934,0
B00036,51,rural,Bihar,7,10664.38,14141.81,20548.6,16545.99,17432.27,29360.73,self-employed,30,3,,,,,8,21,3.0,7.0,2015.0,386.57,2.04,0.0,,,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,286100.0,education,36,0.5714,0
B00037,28,gig,Maharashtra,3,20831.02,48651.24,2000.0,29240.11,58335.46,35720.21,salaried-gig,30,4,88.0,2574.81,27.0,0.0,7,8,,,2017.0,567.62,2.3,7.1,0.195,0.6941653469241444,4.0,3.0,3.0,,4.0,4.0,3.0,3.0,389500.0,business,23,0.4084,0
B00038,34,rural,Madhya Pradesh,6,5405.71,6779.43,9555.3,6729.57,7382.24,12003.28,seasonal,10,1,5.4,964.18,6.0,0.0,0,16,0.0,14.0,2023.0,348.6,1.09,0.0,,,1.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,29500.0,medical,57,0.4562,0
B00039,30,rural,Madhya Pradesh,7,14055.22,13426.42,19888.65,10733.02,10683.46,24740.96,self-employed,29,2,,,,,9,19,11.0,23.0,2018.0,295.44,1.94,0.0,,,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,123800.0,business,38,0.5293,0
B00040,25,gig,Tamil Nadu,2,43234.31,41689.04,25920.62,31331.61,22144.12,27554.32,daily-wage,16,4,38.0,1839.8,0.0,0.0,4,8,10.0,22.0,,593.22,2.07,6.9,0.261,0.4431484269827556,2.0,3.0,1.0,4.0,4.0,,2.0,3.0,210900.0,medical,50,0.4299,0
B00041,23,migrant,Tamil Nadu,3,26508.16,28738.98,25651.55,23844.45,27010.5,28703.03,daily-wage,12,3,42.3,,12.0,1.0,12,20,7.0,22.0,2021.0,508.19,1.96,8.4,0.231,0.7122148439251975,2.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,359800.0,consumption,42,0.4357,0
B00042,36,gig,Maharashtra,5,31711.8,19678.98,40414.03,43576.53,50169.09,36334.57,self-employed,26,4,62.6,2334.91,25.0,0.0,17,23,7.0,9.0,2015.0,652.79,1.74,12.7,0.294,0.7065452548669278,3.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,108200.0,consumption,38,0.118,0
B00043,28,gig,Karnataka,2,9091.97,17843.74,32511.34,15947.69,34965.54,21727.26,self-employed,9,2,14.7,1178.27,0.0,0.0,0,8,1.0,17.0,2020.0,443.33,0.93,5.1,0.403,0.24505099999836197,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,138800.0,consumption,59,0.5727,0
B00044,26,gig,Delhi,3,13779.08,27254.88,15950.81,20566.69,19530.32,28569.85,salaried-gig,15,2,21.2,806.21,17.0,0.0,4,24,4.0,16.0,2020.0,445.1,1.14,2.1,0.448,0.5873387644982075,1.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,39700.0,business,11,0.5188,0
B00045,53,rural,Bihar,4,11052.12,10861.63,16063.16,13469.21,12284.03,27210.82,seasonal,36,2,,,,,8,13,,,2018.0,313.14,2.04,0.0,,,4.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,61300.0,business,35,0.486,0
B00046,50,rural,Uttar Pradesh,4,16873.64,13652.62,25589.86,15008.71,16568.58,34670.66,self-employed,45,4,,,,,20,23,16.0,19.0,2013.0,527.06,2.35,0.0,,,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,454600.0,agriculture,48,0.3399,0
B00047,40,gig,Tamil Nadu,3,52960.3,35319.45,56569.84,48993.42,40746.95,54430.44,daily-wage,27,3,80.8,2267.66,16.0,1.0,11,21,15.0,18.0,2015.0,576.25,2.73,10.8,0.228,0.5674227593219672,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,212100.0,medical,56,0.2758,0
B00048,40,gig,Maharashtra,2,32336.79,18637.87,21885.17,27421.82,15269.76,20246.92,salaried-gig,10,2,47.3,1263.96,13.0,1.0,12,22,,,2019.0,586.32,0.54,6.1,0.361,0.3515480041679598,3.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,268900.0,medical,8,0.5301,0
B00049,51,rural,Madhya Pradesh,7,11936.84,12547.35,25963.5,14245.05,10247.45,18632.34,daily-wage,32,1,,,,,9,16,,,2016.0,394.33,1.93,0.0,,,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,476900.0,medical,56,0.3775,0
B00050,31,gig,Maharashtra,2,6855.7,26356.29,25345.37,20879.88,28990.46,30369.32,self-employed,24,3,63.1,1861.05,16.0,1.0,8,21,19.0,23.0,2017.0,491.7,2.22,7.7,0.269,0.7446594662495751,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,438800.0,business,59,0.3738,0
B00051,27,gig,Karnataka,4,16004.77,47508.43,22307.36,42199.05,29990.1,54757.04,self-employed,22,4,45.8,1667.22,16.0,1.0,4,9,8.0,23.0,2019.0,570.85,2.12,0.0,,,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,223600.0,education,27,0.3939,0
B00052,33,migrant,Maharashtra,1,23383.8,19025.42,15627.23,15797.63,27942.42,22673.88,daily-wage,7,2,10.9,1686.7,6.0,1.0,3,11,18.0,22.0,2019.0,523.15,0.89,0.0,,,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,235300.0,education,19,0.4811,0
B00053,40,rural,Rajasthan,6,17766.57,18678.3,28556.8,19215.5,14390.04,21876.86,seasonal,54,2,92.5,3135.93,21.0,0.0,8,10,6.0,7.0,2011.0,430.7,2.34,10.4,0.21,0.9385783309293751,4.0,4.0,2.0,5.0,5.0,4.0,2.0,3.0,191600.0,consumption,33,0.0566,0
B00054,53,rural,Odisha,6,9789.01,11145.04,18125.63,10641.74,12092.47,25467.0,daily-wage,24,2,,,,,16,22,,,2020.0,204.94,1.03,0.0,,,2.0,2.0,4.0,3.0,1.0,,4.0,4.0,107800.0,business,25,0.5439,0
B00055,25,gig,Tamil Nadu,2,21469.72,10314.96,32884.51,31599.53,24322.88,27477.78,salaried-gig,11,3,41.7,1701.63,9.0,0.0,1,8,4.0,15.0,2022.0,573.72,1.05,10.0,0.406,0.4467708151528211,3.0,3.0,4.0,2.0,2.0,2.0,5.0,3.0,222300.0,business,57,0.5662,0
B00056,33,gig,Delhi,3,18306.49,37574.93,29708.71,23437.99,22711.85,18084.69,daily-wage,11,2,29.1,1616.62,12.0,0.0,3,13,3.0,9.0,,519.31,1.65,4.8,0.298,0.3052293844978465,2.0,3.0,3.0,2.0,3.0,,4.0,3.0,57900.0,education,59,0.3607,0
B00057,34,rural,Odisha,7,11824.97,15785.26,32780.86,14732.99,11071.52,21058.22,seasonal,35,3,62.5,2819.11,18.0,1.0,15,21,5.0,15.0,2016.0,287.36,1.95,10.2,0.183,0.2604833667485097,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,286600.0,business,55,0.3542,0
B00058,33,gig,Karnataka,4,53401.27,32653.63,29286.78,39133.75,35199.14,33208.73,salaried-gig,23,3,95.1,2743.83,20.0,0.0,11,15,11.0,15.0,2015.0,610.58,1.73,12.8,0.199,0.4413916057584952,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,373300.0,education,51,0.1772,0
B00059,33,gig,Maharashtra,5,31114.97,26619.72,21078.14,19799.88,21298.55,25005.83,daily-wage,16,2,0.0,1699.0,8.0,1.0,5,15,2.0,17.0,2021.0,656.31,0.61,2.3,0.461,0.04321424677688757,2.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,306600.0,business,11,0.443,0
B00060,49,rural,Madhya Pradesh,5,14001.56,15855.93,27882.79,16620.01,21402.96,31074.24,seasonal,49,4,,,,,2,6,7.0,9.0,,357.47,2.13,8.0,0.183,0.8312611157076278,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,101700.0,agriculture,12,0.5415,0
B00061,32,migrant,Gujarat,1,9415.83,14901.62,12131.78,14561.69,13756.64,16831.69,daily-wage,5,1,41.7,760.28,0.0,0.0,1,8,4.0,15.0,2024.0,509.91,0.9,2.1,0.453,0.20783566396460995,2.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,156700.0,education,53,0.4629,0
B00062,41,rural,Rajasthan,5,7556.78,5295.79,13689.92,9857.42,9087.37,10143.3,seasonal,20,2,0.0,1031.81,10.0,0.0,10,20,9.0,20.0,2021.0,189.88,1.0,0.0,,,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,36000.0,business,35,0.3509,0
B00063,36,gig,Telangana,3,18031.63,24453.22,17178.24,8755.2,16984.64,11642.5,self-employed,12,3,11.3,809.58,4.0,0.0,1,20,,,2022.0,387.72,1.3,5.1,0.502,0.09581697814397179,3.0,2.0,5.0,2.0,3.0,,3.0,2.0,322300.0,consumption,42,0.4193,0
B00064,32,rural,Madhya Pradesh,7,14162.0,13299.04,28299.99,15568.3,12279.1,22846.34,seasonal,38,4,,,,,7,14,7.0,11.0,2018.0,295.78,2.25,0.0,,,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,270200.0,agriculture,32,0.5652,0
B00065,27,migrant,Karnataka,2,34942.55,32854.89,28942.86,36336.77,25945.02,42042.35,self-employed,15,4,77.7,,21.0,1.0,6,6,13.0,14.0,2015.0,607.75,2.1,10.5,0.267,0.9204753265873349,4.0,3.0,3.0,,5.0,4.0,3.0,5.0,309400.0,business,44,0.1136,0
B00066,30,gig,Tamil Nadu,4,19599.01,23406.32,29243.43,37660.77,46547.86,28959.67,salaried-gig,21,4,54.9,2529.42,15.0,1.0,16,19,8.0,11.0,2016.0,519.92,2.18,8.9,0.253,0.6986689847789168,4.0,2.0,3.0,4.0,3.0,,2.0,3.0,446100.0,agriculture,42,0.2839,0
B00067,33,migrant,Karnataka,3,31022.2,25925.5,22439.57,23194.13,29749.9,19953.43,salaried-gig,8,3,74.5,2652.75,16.0,1.0,4,11,8.0,10.0,2015.0,555.37,2.33,10.3,0.311,0.5211900256523276,3.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,55100.0,business,15,0.2456,0
B00068,48,rural,Odisha,5,8948.1,9096.97,17374.37,11161.94,9441.78,18810.21,daily-wage,21,2,,,,,3,12,6.0,16.0,2021.0,495.49,1.35,4.1,0.354,0.2894294704949158,3.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,391100.0,medical,50,0.6932,1
B00069,38,rural,Odisha,5,8342.09,6338.69,10714.63,6409.59,7312.18,7950.78,seasonal,10,2,,,,,0,9,4.0,17.0,2023.0,218.24,0.85,0.0,,,1.0,3.0,4.0,2.0,3.0,1.0,4.0,2.0,244600.0,medical,21,0.805,1
B00070,34,gig,Telangana,5,16223.98,20097.76,17807.56,27413.78,19330.07,15145.58,daily-wage,7,2,29.8,922.66,7.0,1.0,11,16,1.0,17.0,2022.0,438.94,0.5,4.6,0.461,0.014506046145320133,2.0,1.0,3.0,2.0,2.0,1.0,5.0,3.0,172300.0,consumption,6,0.5453,0
B00071,32,rural,Bihar,4,18181.23,19740.08,23048.9,14803.0,14267.54,31516.85,self-employed,44,2,90.2,2754.63,18.0,0.0,2,6,,,2013.0,513.61,2.42,0.0,,,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,111500.0,business,28,0.3936,0
B00072,34,gig,Delhi,3,5742.54,16662.59,21741.58,50896.74,38374.8,42661.96,self-employed,26,3,71.9,2804.79,12.0,0.0,7,11,11.0,21.0,2014.0,620.53,1.94,13.5,0.235,0.9198547293098123,3.0,3.0,3.0,,4.0,3.0,3.0,4.0,143700.0,medical,6,0.5092,0
B00073,37,gig,Telangana,4,27183.62,25307.95,15818.2,16660.94,14384.27,9558.57,salaried-gig,12,2,42.2,1424.89,7.0,0.0,3,12,,,2019.0,432.97,1.44,5.6,0.363,0.023015385079639912,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,161700.0,business,6,0.6675,1
B00074,36,gig,Tamil Nadu,2,21703.02,26112.61,38435.76,21211.57,29182.96,40985.91,salaried-gig,25,3,56.6,1863.1,16.0,0.0,7,18,6.0,8.0,2017.0,540.06,1.79,3.2,0.298,0.6783949089524144,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,26400.0,business,40,0.1971,0
B00075,47,rural,Rajasthan,6,9444.5,8590.62,16115.84,9282.06,10038.5,19875.69,self-employed,20,2,3.5,1698.25,5.0,0.0,14,23,3.0,18.0,2019.0,100.0,1.23,0.0,,,3.0,2.0,4.0,,2.0,,4.0,2.0,469900.0,business,47,0.6069,1
B00076,34,migrant,Karnataka,4,28999.36,25452.24,25426.11,23886.07,33148.09,31155.79,salaried-gig,7,4,50.6,2072.84,16.0,1.0,11,19,7.0,21.0,2015.0,550.39,1.78,1.5,0.325,0.41452364399689545,4.0,3.0,2.0,,3.0,4.0,2.0,4.0,399000.0,business,21,0.3522,0
B00077,34,migrant,Maharashtra,2,27038.77,32091.75,35336.13,32591.42,35515.3,34424.53,daily-wage,20,4,79.7,,23.0,1.0,3,7,6.0,6.0,2013.0,578.65,2.62,12.5,0.194,0.8573122861599697,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,294100.0,business,8,0.2316,0
B00078,22,gig,Delhi,4,17272.73,27694.76,20003.53,41855.19,37818.84,30885.35,salaried-gig,20,3,38.7,1533.19,20.0,0.0,6,19,,,2020.0,541.27,1.25,3.4,0.335,0.06110426542800209,2.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,347800.0,business,47,0.5541,0
B00079,33,gig,Delhi,3,26440.31,18366.31,9483.82,25077.85,30264.34,23282.85,self-employed,21,4,44.9,2320.01,9.0,0.0,7,13,9.0,16.0,2014.0,680.39,1.58,2.6,0.298,0.7003189354180724,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,276700.0,education,18,0.2612,0
B00080,49,rural,Odisha,6,8634.12,10747.06,13500.07,9552.09,7941.3,18939.2,seasonal,20,3,,,,,5,17,,,2019.0,319.13,1.31,0.0,,,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,122800.0,agriculture,38,0.5271,0
B00081,21,migrant,Tamil Nadu,1,13098.09,16208.46,15773.17,21127.96,22849.76,22136.05,daily-wage,11,3,32.1,1019.72,6.0,0.0,1,7,0.0,16.0,2024.0,415.49,0.75,3.8,0.367,0.07437541755497004,2.0,3.0,4.0,2.0,2.0,1.0,4.0,1.0,122400.0,consumption,32,0.5318,0
B00082,40,gig,Delhi,4,41141.02,47909.72,38986.05,43714.75,38061.38,34693.68,salaried-gig,30,4,87.6,3752.76,27.0,1.0,12,12,18.0,19.0,2012.0,577.77,2.42,16.8,0.188,0.9936418571132276,5.0,4.0,2.0,4.0,4.0,5.0,1.0,4.0,311200.0,business,27,0.1298,0
B00083,32,gig,Delhi,3,25762.28,34788.2,29184.74,34484.53,32500.07,31660.62,self-employed,18,3,24.5,1279.17,13.0,0.0,3,12,,,2019.0,645.31,1.31,6.5,0.406,0.41263948708393744,3.0,2.0,4.0,3.0,4.0,1.0,4.0,3.0,449300.0,business,55,0.47,0
B00084,22,migrant,Gujarat,1,17597.35,12064.3,17061.89,19575.54,16713.15,22004.82,salaried-gig,9,2,35.3,1094.53,14.0,0.0,5,21,1.0,16.0,2024.0,447.83,1.33,5.1,0.399,0.4274495500611185,3.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,196500.0,medical,54,0.6629,1
B00085,37,rural,Uttar Pradesh,7,8746.42,10915.46,20113.72,11546.28,10751.34,17027.19,seasonal,25,2,36.6,1436.0,10.0,0.0,1,13,,,2020.0,243.69,1.14,0.0,,,1.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,117600.0,medical,55,0.5477,0
